"category_name","price_range","total_amount","total_number_orders"
Beverages,"1. Below $20", 102945,352
Beverages,"2. $20 - $50",  23527,28
Beverages,"3. Over $50", 141397,24
Condiments,"1. Below $20",  35355,110
Condiments,"2. $20 - $50",  70692,106
Confections,"1. Below $20",  56891,216
Confections,"2. $20 - $50",  87903,102
Confections,"3. Over $50",  22563,16
Dairy Products,"1. Below $20",  26961,112
Dairy Products,"2. $20 - $50", 158503,219
Dairy Products,"3. Over $50",  49043,35
Grains/Cereals,"1. Below $20",  24369,104
Grains/Cereals,"2. $20 - $50",  71376,92
Meat/Poultry,"1. Below $20",  12298,47
Meat/Poultry,"2. $20 - $50",  63129,89
Meat/Poultry,"3. Over $50",  87595,37
Produce,"1. Below $20",   5250,22
Produce,"2. $20 - $50",  61024,84
Produce,"3. Over $50",  33711,30
Seafood,"1. Below $20",  65110,232
Seafood,"2. $20 - $50",  43205,77
Seafood,"3. Over $50",  22947,21
