"category_name","product_name","unit_price","average_unit_price","median_unit_price","average_unit_price_position","median_unit_price_position"
Beverages,Chartreuse verte,18.0, 37.98, 18.00,Below Average,Equal Median
Beverages,Côte de Blaye,263.5, 37.98, 18.00,Above Average,Above Median
Beverages,Ipoh Coffee,46.0, 37.98, 18.00,Above Average,Above Median
Beverages,Lakkalikööri,18.0, 37.98, 18.00,Below Average,Equal Median
Beverages,Laughing Lumberjack Lager,14.0, 37.98, 18.00,Below Average,Below Median
Beverages,Outback Lager,15.0, 37.98, 18.00,Below Average,Below Median
Beverages,Rhönbräu Klosterbier,7.75, 37.98, 18.00,Below Average,Below Median
Beverages,Sasquatch Ale,14.0, 37.98, 18.00,Below Average,Below Median
Beverages,Steeleye Stout,18.0, 37.98, 18.00,Below Average,Equal Median
Condiments,Aniseed Syrup,10.0, 22.85, 21.05,Below Average,Below Median
Condiments,Chef Anton's Cajun Seasoning,22.0, 22.85, 21.05,Below Average,Above Median
Condiments,Genen Shouyu,13.0, 22.85, 21.05,Below Average,Below Median
Condiments,Grandma's Boysenberry Spread,25.0, 22.85, 21.05,Above Average,Above Median
Condiments,Gula Malacca,19.45, 22.85, 21.05,Below Average,Below Median
Condiments,Louisiana Fiery Hot Pepper Sauce,21.05, 22.85, 21.05,Below Average,Equal Median
Condiments,Louisiana Hot Spiced Okra,17.0, 22.85, 21.05,Below Average,Below Median
Condiments,Northwoods Cranberry Sauce,40.0, 22.85, 21.05,Above Average,Above Median
Condiments,Original Frankfurter grüne Soße,13.0, 22.85, 21.05,Below Average,Below Median
Condiments,Sirop d'érable,28.5, 22.85, 21.05,Above Average,Above Median
Condiments,Vegie-spread,43.9, 22.85, 21.05,Above Average,Above Median
Confections,Chocolade,12.75, 25.16, 16.25,Below Average,Below Median
Confections,Gumbär Gummibärchen,31.23, 25.16, 16.25,Above Average,Above Median
Confections,Maxilaku,20.0, 25.16, 16.25,Below Average,Above Median
Confections,NuNuCa Nuß-Nougat-Creme,14.0, 25.16, 16.25,Below Average,Below Median
Confections,Pavlova,17.45, 25.16, 16.25,Below Average,Above Median
Confections,Schoggi Schokolade,43.9, 25.16, 16.25,Above Average,Above Median
Confections,Scottish Longbreads,12.5, 25.16, 16.25,Below Average,Below Median
Confections,Sir Rodney's Marmalade,81.0, 25.16, 16.25,Above Average,Above Median
Confections,Sir Rodney's Scones,10.0, 25.16, 16.25,Below Average,Below Median
Confections,Tarte au sucre,49.3, 25.16, 16.25,Above Average,Above Median
Confections,Teatime Chocolate Biscuits,9.2, 25.16, 16.25,Below Average,Below Median
Confections,Valkoinen suklaa,16.25, 25.16, 16.25,Below Average,Equal Median
Confections,Zaanse koeken,9.5, 25.16, 16.25,Below Average,Below Median
Dairy Products,Camembert Pierrot,34.0, 28.73, 32.00,Above Average,Above Median
Dairy Products,Flotemysost,21.5, 28.73, 32.00,Below Average,Below Median
Dairy Products,Geitost,2.5, 28.73, 32.00,Below Average,Below Median
Dairy Products,Gorgonzola Telino,12.5, 28.73, 32.00,Below Average,Below Median
Dairy Products,Gudbrandsdalsost,36.0, 28.73, 32.00,Above Average,Above Median
Dairy Products,Mascarpone Fabioli,32.0, 28.73, 32.00,Above Average,Equal Median
Dairy Products,Mozzarella di Giovanni,34.8, 28.73, 32.00,Above Average,Above Median
Dairy Products,Queso Cabrales,21.0, 28.73, 32.00,Below Average,Below Median
Dairy Products,Queso Manchego La Pastora,38.0, 28.73, 32.00,Above Average,Above Median
Dairy Products,Raclette Courdavault,55.0, 28.73, 32.00,Above Average,Above Median
Grains/Cereals,Filo Mix,7.0, 20.25, 19.50,Below Average,Below Median
Grains/Cereals,Gnocchi di nonna Alice,38.0, 20.25, 19.50,Above Average,Above Median
Grains/Cereals,Gustaf's Knäckebröd,21.0, 20.25, 19.50,Above Average,Above Median
Grains/Cereals,Ravioli Angelo,19.5, 20.25, 19.50,Below Average,Equal Median
Grains/Cereals,Tunnbröd,9.0, 20.25, 19.50,Below Average,Below Median
Grains/Cereals,Wimmers gute Semmelknödel,33.25, 20.25, 19.50,Above Average,Above Median
Meat/Poultry,Pâté chinois,24.0, 54.01, 32.80,Below Average,Below Median
Meat/Poultry,Tourtière,7.45, 54.01, 32.80,Below Average,Below Median
Produce,Longlife Tofu,10.0, 32.37, 30.00,Below Average,Below Median
Produce,Manjimup Dried Apples,53.0, 32.37, 30.00,Above Average,Above Median
Produce,Tofu,23.25, 32.37, 30.00,Below Average,Below Median
Produce,Uncle Bob's Organic Dried Pears,30.0, 32.37, 30.00,Below Average,Equal Median
Seafood,Boston Crab Meat,18.4, 20.68, 15.00,Below Average,Above Median
Seafood,Carnarvon Tigers,62.5, 20.68, 15.00,Above Average,Above Median
Seafood,Escargots de Bourgogne,13.25, 20.68, 15.00,Below Average,Below Median
Seafood,Gravad lax,26.0, 20.68, 15.00,Above Average,Above Median
Seafood,Ikura,31.0, 20.68, 15.00,Above Average,Above Median
Seafood,Inlagd Sill,19.0, 20.68, 15.00,Below Average,Above Median
Seafood,Jack's New England Clam Chowder,9.65, 20.68, 15.00,Below Average,Below Median
Seafood,Konbu,6.0, 20.68, 15.00,Below Average,Below Median
Seafood,Nord-Ost Matjeshering,25.89, 20.68, 15.00,Above Average,Above Median
Seafood,Rogede sild,9.5, 20.68, 15.00,Below Average,Below Median
Seafood,Röd Kaviar,15.0, 20.68, 15.00,Below Average,Equal Median
Seafood,Spegesild,12.0, 20.68, 15.00,Below Average,Below Median
